reviews,category
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요     첫 번째 목표        두 번째 목표      목표점수를 따로 정하지는 않았지만 중간에 포기하지 않고 매일 수강을 듣고  공부를 하였습니다  남들은               점수를 달성하는 것이 목표였다면 저는 점수를 개의치 않고 포기 하지 않고 끝까지 가는 것이 목표였습니다  물론 점수도 중요하지만 포기 하지 않는 마음가짐이 더욱 중요하다고 생각했기에 그렇게 목표를 삼았습니다  처음 수강 신청일  월  일부터  월   일까지 총  번의 시험을 치뤘습니다  첫 시험           시험에서       점        점을 받았습니다  높은 점수는 아니지만 처음으로 준비했던 시험 결과였기에 만족하였습니다  또한 이 시험을 통해 더욱 더 열심히 해야겠다고 생각하였으며 새로운 목표를 잡은 후 두 번째 시험          을 치뤘습니다  아직 점수 결과는 나오지 않았지만 첫 시험보다 자신감 있게 풀었기에 보다 높은 점수를 기대하고 있습니다       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요   특히 기본 개념이 잡혀있지 않았기에      목표  해커스 토익 스타트         독해   강상진 토익  강의는 저와 같은 토익 입문자에게 쉽고  차근차근 공부할 수 있게 해주었습니다  또한 어떻게 공부를 해야하는지 방향성을 잡아주었습니다  문법 강의가 가장 기억에 남았습니다  기본적인 문법에 대하여 전혀 몰랐기에 기초부터 시작해서 꾸준히 복습과 반복을 통해 문법에 대해 천천히 배워갔고  이해하였습니다  실제 응시장에서         부분에 대해서 집에서 문제 풀이 하였을 때 보다 더욱 자신감 있게 문제를 풀 수 있었습니다  강상진 선생님의 교육 스타일도 정말 마음에 들었습니다  선생님은 같은 문법 혹은 단어를 여러 번 반복을 하며 가르쳐주셨습니다  그렇기에 오랫동안 기억에 남을 수 있었습니다  꾸준히 토익 공부를 하여 목표 점수를 달성할 수 있을 때 까지 꾸준히 시험을 치루면서 공부를 할 것입니다  강상진 선생님의 문법 강의를 듣고   부분의 기초를 다져놓았기에 더욱 더 높은 점수를 받을 수 있도록 선생님께서 강조해셨던 부분을 까먹지 않고 실전 문제풀이에서 자연스럽게 사용할 수 있을때까지 꾸준히 공부를 할 것입니다       기타의견      나만의 공부       열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영   강의를 듣기 전 매일 단어를 외우고  미리 문제를 풀어 본 다음 강의를 들었습니다  강의가 끝나고 까먹지 않게 바로 복습을 하며 틀렸던 문제에 대하여 오답노트를 작성하였습니다  그리고 다음날 다시 한 번 복습을 하고  예습을 하며 매일 공부를 하였습니다  그 결과로 아직 시험 결과는 안 나왔지만 첫 시험보다 문제 푸는 속도가 빨라졌으며 자신감있게 문제를 풀 수 있었습니다  이러한 습관을 가졌기에 더욱 높은 점수를 받을 수 있다는 자신감을 가지게 되었습니다 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요       수강 후  시험을 보셨다면 달성점수도 자랑해 주세요        내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  아직 전반부이긴하나 어려워했던 파트 부분을 쉽고 간략하게 이해하는 부분이 정말 큰 도움이 됐습니다       기타의견      나만의 공부      강의에서 꾸준히 얘기해주신 회독돌리기 이것이 가장 중요한것같습니다  새롭게 배우면 그날 그전부분을 또 반복해서 복습하는 형식이 도움이 될 것같습니다   열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요       목표점수는 몇점인가요    수강 후  시험을 보셨다면 달성점수도 자랑해 주세요    저는 토익을 처음 접하는 상태였고 중고등학생 때 영어에 대해 공부를 한적이 없는 영어노베이스입니다  영어에 대해 놓은지 많이 되었고 평소에도 영어를 사용하지 않은 상태다보니 어떤강의를 먼저 들어야할지 고민이 많았습니다  토익에 대한 정보가 없었는데 영어관련해서는 해커스가 많이 유명하다고 들어서 패키지 강좌를 결제하게되었습니다  강의를 몇개 들어보니 잘결제했다고 생각이 들었습니다  특히 김진태쌤 강의를 듣고 영어에 대한 자신감을 많이 얻었고 무엇보다 영어를 쉽고 재밌게 알려주면서 포인트들을 집어주는 부분이 좋았습니다  그래서 영어에 대한 기초가 많이 부족한 상태이시면 김진태 쌤 정말 추천드립니다       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  영어공부를 하면서 이렇게 재밌고 즐겁게 공부할 수 있는지 처음알았습니다  정말 토익에 중요한 것을 먼저 알려주시고 나오지 않는부분이나 불필요한을 선정해주셔서 너무 좋았습니다  영어암기를 할때 줄임말을 사용하면서 수업하시고 실강이 아닌 인강인데도 정말 집중력이 생기게끔 강의력이 좋습니다  재미와더불어 이해가되니 더욱 흥미가 생겼습니다  지금은 기초반이지만 점점 더 성장을해서    점이라는 점수를 받을 수 있도록 기초를 잘 다질수 있었던 것 같습니다  즐겁고 재밌게 또는 이해가 쏙쏙되는 강의를 듣고 싶으신분은 김진태 쌤 강의 추천합니다        기타의견      나만의 공부       처음에 강의료도 들고 기초가없는상태에서 막연하게 교재사서 독학으로 시작하기 위해 공부를 해보니 이해도 안되고 너무 어렵고 흥미도가 떨어져 공부를 안하게되었습니다  저처럼 기초가 부족하신분은 강의나 학원의 도움을 통해 이해위주로 암기를 할 수 있는 수단을 고려해보는 것도 좋을거같습니다  그리고 패키지로 구매하면 교재도 무료로 받을 수 있어 좋았고 출석체크나 점수인증을 통해 수강료 환급제공가 있어 공부를 더욱 할 수있게 만들어 이런 제도는 좋은 것 같습니다  하루하루 꾸준히 하다보면 환급도 되고 점수에 점점 다가갈 수 있느니 일석이조입니다  정말 영어는 누가 쉽게 강의해주는지 중요한 것 같습니다  저처럼 흥미를 빨리 잃고 이해위주로 공부하고 싶다면 제가 들었던 김진태쌤 강의도 들어보시면 좋을거 같습니다  감사합니다   열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요   목표는       점 이상으로 잡았습니다      내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  기초가 없는 저에겐 어려운 문제를 푸는 방법보단 기본적인 문제를 틀리지 않는 방법을 배우는 것이 필요했습니다  그런면에서 한나쌤의 해커스 토익 스타트           강의는 정말 많은 도움이 되었습니다  문제를 푸는 방법과  필요한 공부 방법  실질적으로 문제를 풀 때 필요한 팁을 알려주셔서 실제 토익 시험을 볼 때 처음보다 더 잘 들리고  잘 풀 수 있었습니다  아쉽게도 실제 시험에서 원하던 점수보다 살짝 낮게 나왔지만 조금 더 공부하면 원하는 점수를 충분히 얻을 수 있을거 같습니다      기타의견      나만의 공부      확실히 혼자 공부하는 것보단 인강을 듣는게 훨씬 좋았습니다  보다 효율적으로 각각의 파트를 공부하는 방법을 알려주고  어떤 공부 습관을 가져야하는지 배울 수 있었습니다  또한 하나를 배워도 그것과 관련된 것들을 알려주시기 때문에 폭넓게 배울 수 있었고 중요한 것들은 다른 강의를 통해서 다시 알려주셔서 머리에 잘 남았습니다  수업만 듣고 공부를 끝내는 것이 아니라  먼저 문제를 풀어보고 왜 틀렸는지 생각해보고 난 후 수업을 듣고  수업 후 헷갈리거나 어려운 부분을 한 번 더 공부하면서 배운 내용을 자신의 것으로 만드는 것이 가장 중요한 것 같습니다      ,TOEIC
매우 유익한 내용의 강좌였습니다  성적이 확실하게 향상될것 같은 느낌이 와 닿습니다  반복 복습을 통해서 토익 목표점수 꼭 이루도록할게요  훌륭한 강의 자료 만들어주신 김동영 선생님께 감사 드립니다,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요    제 첫 토익 목표점수는    점 이상입니다       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요        목표 강의를 듣고 처음 토익 공부를 시작했는데 하다보니 영어에 약하다는 것을 알게되었습니다  강상진 선생님께서는 책의 내용도 열심히 알려주시는데 선생님께서 제공해주시는 학습자료가 너무 도움이 됐습니다  강의를 듣기 전에 책에 있는 문제를 푸는 습관을 먼저 들였는데 제가 헷갈렸던 문제를 콕  집어서 설명해주셔서 좋았습니다  선생님의 목소리 또한 수업에 집중이 잘되도록 또랑또랑하게 말씀해주셔서 매일 강의듣는 것에 지루함이 전혀 없었습니다     처음보단 영어에 대한 두려움이 많이 없어졌고  강의에서 말씀해주셨던 규칙들이 눈에 보이기 시작했습니다     어휘공부를 더해서 목표점수에 도달하도록 노력하겠습니다       기타의견      나만의 공부       평소에 학원을 다니기엔 시간도 부족하고 코로나  로 인해 학원을 다니기가 두려웠습니다  해커스 토익 인강을 통해 점수를 많이 올렸다는 친구의 추천으로 인강을 처음 시작하게 되었습니다     강의에서 문제의 유형과 파트별로 자주 나오는 어휘들을 알려주셔서 그 어휘들을 위주로 필기하며 공부하였고     강의에서는 문제를 많이 풀어보는 것이 점수를 올리는데 도움이 될 것 같아 서점에서 기출문제집을 구매하여 연습하였습니다  제 목표 점수에 도달하기 위해 해커스에서 제공해주는 어휘앱을 더 이용하여 점수를 올리도록 노력할 것입니다   열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요    제 첫 토익 목표점수는    점 이상입니다       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요        목표 강의를 듣고 처음 토익 공부를 시작했는데 하다보니 영어에 약하다는 것을 알게되었습니다  강상진 선생님께서는 책의 내용도 열심히 알려주시는데 선생님께서 제공해주시는 학습자료가 너무 도움이 됐습니다  강의를 듣기 전에 책에 있는 문제를 푸는 습관을 먼저 들였는데 제가 헷갈렸던 문제를 콕  집어서 설명해주셔서 좋았습니다  선생님의 목소리 또한 수업에 집중이 잘되도록 또랑또랑하게 말씀해주셔서 매일 강의듣는 것에 지루함이 전혀 없었습니다     처음보단 영어에 대한 두려움이 많이 없어졌고  강의에서 말씀해주셨던 규칙들이 눈에 보이기 시작했습니다     어휘공부를 더해서 목표점수에 도달하도록 노력하겠습니다       기타의견      나만의 공부       평소에 학원을 다니기엔 시간도 부족하고 코로나  로 인해 학원을 다니기가 두려웠습니다  해커스 토익 인강을 통해 점수를 많이 올렸다는 친구의 추천으로 인강을 처음 시작하게 되었습니다     강의에서 문제의 유형과 파트별로 자주 나오는 어휘들을 알려주셔서 그 어휘들을 위주로 필기하며 공부하였고     강의에서는 문제를 많이 풀어보는 것이 점수를 올리는데 도움이 될 것 같아 서점에서 기출문제집을 구매하여 연습하였습니다  제 목표 점수에 도달하기 위해 해커스에서 제공해주는 어휘앱을 더 이용하여 점수를 올리도록 노력할 것입니다   열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요        를 신청한만큼    점 이상을 목표로 공부하고 있습니다       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요   토익을 공부 해야겠다는 마음을 먹자마자 해커스 첫토익  원 패스     를 결제하고 공부를 시작했습니다  다른 인강 토익은 찾아보지 않았고 주변에서 자주 이야기 해 자주 들었던 해커스 토익 인강으로 고민하지 않고 바로 결제 했습니다     일 동안 출석만 해도 환급이 된다는 것을 듣고 고민도 하지 않았던 것 같습니다  이 덕분에 환급을 받기 위해서라도    일 동안 빠짐없이 출석을 해서 토익 인강을 듣고 공부를 하게 되는 동기부여도 됐던 것 같습니다  저는   가 많이 부족하다는 걸 스스로 알고 있었기 때문에 먼저 전미정 선생님의         강의를 들으며 공부를 했습니다  처음 강의를 듣기 시작했을 때에는 첫 토익인데 너무 높은 점수를 잡고 강의를 듣기 시작했나 라는 생각이 들 정도로 따라가기 조금 어려웠지만 점점 강의를 들을수록 제가 풀 수 있는 문제도 많아지게 되며 오히려 흥미가 조금씩 더 생겨났습니다  그렇게 포기 하지 않고 전미정 선생님의 강의를 다 듣고 난 후 장종훈 선생님의 강의도 현재 듣고 있습니다    는 한나 선생님의 강의를 들으며 열심히 준비하고 있습니다       기타의견      나만의 공부       이제 다음달에 첫 토익 시험을 치러 가게 되었는데 벌써부터 긴장이 되는 것 같습니다  하지만 해커스 토익 선생님들과 함께 나름대로 열심히 준비 했기 때문에 제가 그동안 공부한 것들을 바탕으로 시험을 잘 치루고 돌아올 수 있었으면 좋겠습니다  처음 토익을 시작하는 사람들에게 해커스 토익  원패스를 추천해주고 싶고 저처럼 공부 하는 습관이 잡혀 있지 않은 사람들도 환급을 받으려는 또 다른 목표도 있기 때문에 해커스 토익에 자주 들어오게 되며 매일 공부 하는 습관을 잡을 수 있게 될 수도 있습니다  전미정 선생님의    강의를 듣는다면 선생님이 필기 하라고 하는 것을 열심히 하고 풀라고 하는 문제만 열심히 풀어도 성적은 자연스럽게 오르게 되는 것 같습니다   열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요     점  수강 후  시험을 보셨다면 달성점수도 자랑해 주세요        내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요         오늘까지해서 총   일 동안 강의를 매일 빠짐없이 듣고 공부하였습니다  그 중 단연 박영선 선생님의 독해 강의는 정말 도움이 많이 되었습니다         선생님의 체계적인 강의로 독해 속도가 확실히 빨라졌으며 강의 중간중간 선생님께서 가르쳐주시는 독해 팁들은 확실히 독해 실력 향상에 도움이 많이 되었습니다         독해에서 끝나는 것이 아니라 같이 문제를 풀어주시면서 왜 오답인지  정답의 근거는 어디있는지를 하나하나 꼼꼼하게 가르쳐주셔서 이해가 더 확실히 되었으며         이를 통해 문제를 풀며 내가 어떤 부분에서 헷갈려했는지  왜 오답을 체크했는지를 확인할 수 있어서 실력향상에 더욱 도움을 받을 수 있었습니다         강의를 통해서 독해를 넘어 영어 자체에 대해 흥미를 느끼게 되어 스스로 만족하는 강의였습니다       기타의견      나만의 공부             저만의 공부    이 따로 있는 것은 아니지만 환급반을 들으며 매일매일 빠짐없이 강의를 들어야겠다고 다짐하고 강의를 들은 것이 꾸준히 공부하는데          도움이 되었습니다  사실 인터넷 강의가 매일 하루도 빠짐없이 듣는 것이 쉽지 않은데 하나의 목표를 두니 매일 아침마다 알람을 맞추고 강의를 꼭 듣게 되었습니다          영어공부를 하는데 있어서 의지가 약하신 분들은 환급반을 통해 목표를 만들어 매일매일 꾸준히 공부하신다면 큰 도움을 받을 수 있을 것 같습니다  열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요      점      내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요   전반적인    시험을 어떻게 진행해야하는지 노하우도 배우고  파트     수업에서 난이도가 높은 문제들의 문법적 포인트를 알려주시고  많은 반복해서 들을 수 있도록 해서 도움이 되었습니다  무엇보다    풀이에 두려움이 없어졌고  재미를 붙였다는 것에 큰 의미를 가집니다  아직 목표점수는 달성하지 못했지만 매일    연습을 하고  강의를 다시 수강하면서 부족했던 부분을 복습해 나가려고 합니다        기타의견      나만의 공부       노트필기로 몰랐던 단어들을 따로 정리해두고  교재에 수록되어 있는 단어를 외우면서 부족한 단어공부를 하였습니다  강의자료인 필살노트를 보면서 수업시간에 강조한 부분과 중요 내용들을 공부했습니다   열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
