reviews,category
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요     점 이상  수강 후  시험을 보셨다면 달성점수도 자랑해 주세요        내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  토익 중에 특히 듣기 부분이 많이 약했는데 어떻게 하면 더 잘 들을 수 있는지 방향을 가르쳐주셔서 많은 도움이 됐습니다      기타의견      나만의 공부       열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
환급반으로 토익 공부하여 토익성적이 많이 향상되었습니다   환급반의 장점인 원하는 강의를 마음껏 들을수 있고 원하는 시간에 공부할 수 있어서 너무 좋았습니다  인강으로 수업하여 단기간에 성적을 올리기에 너무 적합하였고 선생님들도 귀에 쏙쏙 박히는 설명으로 토익공부에 재미를 더해주셔서 잘 마무리할수 있었던것같습니다  리스닝과 리딩 강의 외에 보카 강의도 도움이 되었고 무료보카어플도 유용하게 이용하여 이동시간에 편하게 공부가능했습니다  앞으로 토익외에 다른 공부도 해커스 인강으로 많은 도움을 받을 수 있을것같습니다 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요           점 정도 나올거라고 예상했는데 예상보다 높은 점수가 나와서 정말 기뻤습니다 운도 좋았지만 해커스 실전     제  을 풀고 오답노트 정리를 한게 가장 도움이 된 것 같아요       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  다른 부분보다 파트  를 특히 어려워하는 편이라 실전     제 강의에 큰 도움을 받았습니다  새로이 무언가를 배워가는 공부보다 비어있는 곳을 채우는 공부가 필요하신 분들에게 추천드립니다       기타의견      나만의 공부      시험날 생각보다 자습할 수 있는 시간이 길었습니다  여러개 챙겨가셔도 다 보고 시험 볼 시간 충분하니 여러개 챙겨가세요,TOEIC
사실   는 어느정도 나왔는데   는 아무리 해도    이   안넘더라고요  노력도 부족했지만   아무튼 친구에게 추천받아서 상진쌤 수업 열심히 들었어요  무리하게 숙제 내주시지 않아서 예습하고 수업듣고 복습하는데 부담이 적었고 남는 시간에 해커스 보카로 단어 열심히 외웠습니다  문법수업 반도 못듣고 토익 시험 봤는데 처음으로       나왔어요    너무 감사합니다  남은기간 열심히 해서    으로 토익 졸업하고 싶어요  아무튼 이 강의 들으면서 단어만 잘 외우면      도 무리없이 받을 거 같아요  쌤 감사합니다  ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요      점   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요     달정도 토익 해커스 인강을 들으면서 빡세게 공부를 하고 저번주에 시험을 처음 보고 왔는데 생각보다 잘 본 것 같습니다        내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요   저는 지금까지 영어공부를 제대로 해보지 않은 완전 노베이스 상태였습니다   학원을 다녀야할지 인강을 들어야 할지 고민을 해서 이것저것 알아보던 중  토익은 해커스 인강이 가장 유명하다고 들어서    점을 목표로 하는 첫토익 하드캐리     반을 수강하게 되었습니다  출석    프로를 채우고 기간안에 시험만 보면 수강료를 환급해 준다고 하니 수업을 들을려는 열정도 더 커지고 매일매일 공부를 하게되는 계기가 되었습니다     강의는 장종훈 선생님 강의를 완강하였고   강의는 한나 선생님 강의로 완강을 하였습니다   정말 노베이스가 들었을때 이해가 쏙쏙 잘되고 중간중간 선생님이 알려주시는 팁들이 웃겨서 웃은적도 많습니다  그만큼 쉽고 간단하게 꿀팁들을 알려주셔서 암기해야 하는 것들을 절대 잊지 않게 해주셨어요  문법은 기초가 탄탄해야 한다고 하는데 장종훈 선생님의 강의는 정말 기초부터 탄탄하게 필요한 것만 알려주셨습니다  그 덕분에 저는 지금 기출문제를 풀어보면 어렵지 않게 다 푸는 수준이 되었습니다  왜 인기강사이신지 단번에 알겠더라구요  주변에 보면 학원도 많이 추천하는데 저는 해커스 인강 하나만으로 단기간에 고득점 충분히 노릴 수 있다고 생각해요  그만큼 잘 가르켜주십니다  제가 서울에 살았다면 현장강의를 신청했을 거에요 그만큼 너무 추천합니다  그리고 장종훈쌤 목소리가 너무 좋으셔서 공부하는데 너무 행복했어요   감사합니다       강의는 한나 선생님 강의를 완강하였습니다  유명하신 강사 선생님들은 다 그만한 이유가 있으시다는걸 또 한번 느꼈습니다  기초부터 정말 탄탄히 알려주시고    공부하는 방법도 세세히 설명해주셔서 시작하는데 어려움 없이 할 수 있었습니다  그리고 한나쌤만의    꿀팁 덕분에 발사이즈였던 저의 듣기 실력이 두배이상 향상되었어요  수업이 정말 알차고 지루하지 않고 귀에 쏙쏙 들어왔어요  그냥 한나쌤이 하라는데로만 하면 고득점 가능할 것 같아요  해설강의도 너무 꼼꼼하게 잘 해주시고 너무 만족하는 강의입니다    정말 추천해요  주변 친구들이 토익한다고 하면 저는 바로 해커스 강의 추천합니다        기타의견      나만의 공부       저는    강의를 들을때 책과 노트를 펴놓고 강의시간에 얘기해주시는걸 하나하나 다 받아적어 나만의 문법노트를 완성하였습니다   수업을 다 듣고 문제를 풀때 생각이 안나는게 있으면 문법노트로 바로 찾아서 외우곤 했습니다  그리고 책에 나와있는 문제들은 꼼꼼히 풀어보고 리뷰했습니다     강의도   노트를 따로 만들어서 강의를 들을때 알려주시는 팁이나 빈출단어들을 정리했습니다  시험 보기 전 빠르게 훑어볼 수 있고 알려주신 팁들을 잊지 않고 잘 활용 할 수 있었어요  그리고   강의를 들을때 우선 이론은 듣고 그 다음에 나오는 연습문제나 테스트 문제들은 강의를 멈추고 혼자 풀어보고 채점하고 해설해주시는 강의를 들었습니다  이런식으로 공부를 하니   점수가 빠르게 올랐습니다    열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   첫토익이기도 하고 직장다니면서 준비하는거라 발사이즈 이상만 나오기를 원했습니다  다들 첫시험은 발사이즈 나온다길래 긴장했는데    점 나왔습니다   다른분들에 비해 턱없이 낮은 점수긴하지만 직장다니면서 공부를 많이 못해서   이정도로도 정말 만족합니다       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  영포자인 저도 이해하기 쉽게 잘 가르쳐주시고 특히 기출보카 단어가 예문까지 같이 설명해줘서 도움이 많이 됐습니다       기타의견 시간이 얼마 없었던게 너무 아쉬워서 기간 연장해서 이번에는 빡세게 강의를 들어볼 예정입니다  목표는    점 이상인데 될지 안될지는 모르겠지만 열심히 들어볼 예정입니다  강의 자체가 기간도 넉넉하고 선택해서 들을수 있어서 너무 좋은것같습니다 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요   저의 목표점수는    점이였습니다      내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  김동영 강사님거 들었는데 이해가 쏙쏙 되었고 좋았습니다      기타의견      나만의 공부      정말 좋았습니다  다음에 다시 한번 도전해보겟습니다   열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요   총    점 이상이 목표입니다       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  살면서 처음 토익 점수가 필요하게 됐습니다  영어에는 자신도  실력도 없는         상태로 독학  인강 등에 대해 많은 고민을 했습니다  처음엔 독학을 하려 했지만 강제성이 부족하여 인터넷 강의 위주로 찾다가 해커스 토익을 알게 되었습니다   해커스에는 실력별  등급별  토익문제  문법 등등 영어에 관하여 다양하게 도움되는 강좌들이 많더라구요  그래서 선택하게 되었습니다  토익 보기    일전부터    일동안       합해서 여러 강의를 들었지만 김진태 선생님의 왕기초          문법  강의가 가장 기억에 남습니다  솔직히 처음에는 큰 거부감이 있던것은 아니지만 선생님 스타일이랑 저랑 좀 안맞는 느낌이었습니다   처음 봤을 때에는 좀 과하다  이런다고 암기가 되나 싶은 마음이 들었죠  그런데 하루 하루 지나가면서 외워야 할 문법들의 양이 늘어나니까  이전에 했던 과한 제스쳐들과 그 내용들이 자연스럽게 기억에 되새겨졌습니다  동대명절 두부 부터 시작해서 마지막 웬 하우 와이 웨얼 하와이  완벽해  까지   처음에는 저렇게 까지 해야 하나 라는 생각이었지만     토익 시험을 보고나서 가장 기억에 남는 구절입니다                               완  이 문법은 진짜 평생 안 까먹을것 같네요 정말 강의를 들으면서 선생님의 열정적인 태도  그리고 중독성 있는 암기 구절을 만들기 위한 연구 및 노력이 너무 감사한 강의였습니다  덕분에 좋은 결과 있을거라는 긍정적인 생각만 듭니다        기타의견      나만의 공부      저는 강제성이 없으면 좀 흐트러지는 성격이다보니 출석을 통한 환급으로 강제성을 부여해서 공부의 효율을 높이려는 생각이었습니다  아무래도 처음에는 강의를 들어야 한다 라기보다는 출석을 통한 강제성   강의 였죠  하지만 해커스의 질 좋은 강의들을 들으면서 영어에 대한 다른 공부법들을 배웠고  어느새 그냥 꾸준히 공부를 위해 강의를 듣다보니 점점 강의에 흥미가 높아져서 자연스레 출석이 따라오는 형태가 되었습니다  만약 돈을 내고 들었다고 해도 아깝지 않은 강의들로 이루어진 환급반으로 토익 공부  영어공부 잘 한 것 같습니다  저처럼 영어에 울렁증이 있고  기초가 없지만 토익을 봐야하는 분들  첫 토익을 어떻게 공부해야 할 지 감을 못 잡으시는 분들 해커스 토익 강력추천합니다      열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영    교재 너무 알차고 잘되어있어요    최고,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요          수강 후  시험을 보셨다면 달성점수도 자랑해 주세요   달성점수      맞았습니다  대학 졸업 후 토익 손 놓은지  년차 된 새댁입니다  어렸을적 무려   년전    해커스 강남 직강 들었던것을 추억삼아 해커스 인강에 들어왔는데   왠걸   그 때 수강했었던 토익스피킹 선생님 아직도 계시네요     해커스 좋은 회사인가 봅니다         내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  토익 정규  실전 물불가리지 않고 다 들었습니다       환급반 신청하여 들었는데    넘기면 전액환급   간신히     넘겼어요   사랑합니다  물론 해커스인강 덕분이었겠죠 토익점수 환급반에서 토스 오픽 다른 공무원  강의도 다 들을수 있던데   너무 서비스가 후한것 아닙니까     덕분에 오랜만에 토스선생님도 랜선으로 만나고 넘 반가왔습니다      기타의견      나만의 공부      정규반은 빠르게 한번 훑기 실전문제 풀이 위주 문제 풀고 틀린문제 위주로 강의 듣기   하시면 많은 시간을 절약 할 수 있을 듯 합니다     열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영  생략해두되쥬 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요         점 이상     내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요     전반후 듣고 후반부 듣는 중에 중간중간 내용 복기도 해주셔서 이해하기 좋았습니다      기타의견      나만의 공부       열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
